unique_number;id_no;rev_bis;name_en;name_fr;short_description_en;short_description_fr;justification_en;justification_fr;date_inscribed;secondary_dates;danger;date_end;danger_list;longitude;latitude;area_hectares;C1;C2;C3;C4;C5;C6;N7;N8;N9;N10;criteria_txt;category;category_short;states_name_en;states_name_fr;region_en;region_fr;iso_code;udnp_code;transboundary
230;208;Rev;Cultural Landscape and Archaeological Remains of the Bamiyan Valley;Paysage culturel et vestiges archéologiques de la vallée de Bamiyan;<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>;<p>Le paysage culturel et les vestiges archéologiques de la vallée de Bamiyan illustrent les développements artistiques et religieux qui, du Ier au XIIIe siècle, ont caractérisé l’ancienne Bactriane, intégrant diverses influences culturelles pour former l’école d’art bouddhique du Gandhara. Le site contient plusieurs ensembles monastiques et sanctuaires bouddhistes, ainsi que des édifices fortifiés de la période islamique. Il témoigne également de la tragique destruction des deux bouddhas debout par les taliban, qui ébranla le monde en mars 2001.</p>;"<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
<p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
<p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
<p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.</p>";"<p><em>Critère (i):</em> Les statues de Bouddha et l’art rupestre de la vallée de Bamyan sont une représentation exceptionnelle de l’école du Gandhara dans l’art bouddhique de la région d’Asie centrale.</p>
<p><em>Critère (ii):</em> Les vestiges artistiques et architecturaux de la vallée de Bamyan, important centre bouddhiste sur la Route de la Soie, sont un témoignage exceptionnel de l’échange des influences indiennes, hellénistiques, romaines et sassanides qui ont servi de fondations à une expression artistique particulière de l’école du Gandhara. À cela s’ajoute une influence islamique ultérieure.</p>
<p><em>Critère (iii):</em> La vallée de Bamyan est un témoignage exceptionnel d’une tradition culturelle d’Asie centrale aujourd’hui disparue.</p>
<p><em>Critère (iv):</em> La vallée de Bamyan est un exemple exceptionnel de paysage culturel illustrant une période significative du bouddhisme.</p>
<p><em>Critère (vi):</em> La vallée de Bamyan est l’expression monumentale la plus importante du Bouddhisme occidental. Ce fut un centre de pèlerinage essentiel sur plusieurs siècles. Les monuments, en raison de leurs valeurs symboliques, ont souffert à différentes périodes de leur histoire, notamment lors de la destruction délibérée de 2001, qui secoua le monde entier.</p>";2003;;1;;Y 2003;67,82525;34,84694;158,9265;1;1;1;1;0;1;0;0;0;0;(i)(ii)(iii)(iv)(vi);Cultural;C;Afghanistan;Afghanistan;Asia and the Pacific;Asie et Pacifique;af;afg;0
234;211;Rev;Minaret and Archaeological Remains of Jam;Minaret et vestiges archéologiques de Djam;<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>;<p>Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son architecture et de ses motifs décoratifs, qui représentent l’apogée d’une tradition artistique propre à cette région. Son impact est renforcé par un environnement spectaculaire : une vallée profonde qui s’ouvre entre d’imposantes montagnes au cœur de la province du Ghor.</p>;"<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
<p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.</p>";"<p><em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
<p><em>Critère (iii)</em> : Le minaret de Djam et ses vestiges archéologiques associés constituent un témoignage exceptionnel de la puissance et de la qualité de la civilisation ghoride qui domina cette région aux XIIe et XIIIe siècles.</p>
<p><em>Critère (iv)</em> : Le minaret de Djam est un exemple exceptionnel de l’architecture et de l’ornementation islamiques dans la région et joua un rôle dans leur diffusion.</p>";2002;;1;;Y 2002;64,51588889;34,39641667;70;0;1;1;1;0;0;0;0;0;0;(ii)(iii)(iv);Cultural;C;Afghanistan;Afghanistan;Asia and the Pacific;Asie et Pacifique;af;afg;0
1590;569;Bis;Historic Centres of Berat and Gjirokastra ;Centres historiques de Berat et de Gjirokastra ;<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.</p>;<p>Berat et Gjirokastra sont inscrites en tant que rares exemples d'un style architectural typique de la période ottomane. Située dans le centre de l'Albanie, Berat porte le témoignage de la coexistence de différentes communautés religieuses et culturelles au fil des siècles. Elle comprend un château, localement appelé le Kala, dont la majeure partie fut construite au XIIIe siècle, bien que ses origines remontent au IVe siècle avant JC. Le quartier de la citadelle compte de nombreuses églises byzantines, dont plusieurs du XIIIème siècle, ainsi que plusieurs mosquées construites sous l'ère ottomane qui débuta en 1417. Gjirokastra, dans la vallée de la rivière Drinos au sud de l'Albanie, comprend une série de remarquables maisons à deux étages, qui se développèrent au XVIIe siècle. La ville comprend également un bazar, une mosquée du XVIIIe siècle ainsi que deux églises de la même époque.</p>;;;2005;2008;0;;;20,14083333;40,07416667;58,9;0;0;1;1;0;0;0;0;0;0;(iii)(iv);Cultural;C;Albania;Albanie;Europe and North America;Europe et Amérique du Nord;al;alb;0
1563;570;ter;Butrint;Butrint;<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.</p>;<p>Habité depuis les temps préhistoriques, le site de Butrint fut successivement le siège d’une colonie grecque, d’une ville romaine, puis d’un évêché. Après une époque de prospérité sous l’administration de Byzance, puis une brève occupation vénitienne, la ville fut abandonnée par sa population à la fin du Moyen Âge à cause de la présence de marécages voisins. Le site archéologique actuel est un conservatoire des ruines représentatives de chaque période du développement de la ville.</p>;;;1992;1999;0;2005;P 1997-2005;20,02095;39,745732;;0;0;1;0;0;0;0;0;0;0;(iii);Cultural;C;Albania;Albanie;Europe and North America;Europe et Amérique du Nord;al;alb;0
111;102;;Al Qal'a of Beni Hammad;La Kalâa des Béni Hammad;<p>In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.</p>;"<p>Dans un site montagneux d&rsquo;une saisissante beaut&eacute;, les ruines de la premi&egrave;re capitale des &eacute;mirs hammadides, fond&eacute;e en 1007 et d&eacute;mantel&eacute;e en 1152, nous restituent l&rsquo;image authentique d&rsquo;une ville musulmane fortifi&eacute;e. Sa mosqu&eacute;e, avec sa salle de pri&egrave;re de 13 nefs &agrave; 8 trav&eacute;es, est l&rsquo;une des plus grandes d&rsquo;Alg&eacute;rie.</p>";;;1980;;0;;;4,78684;35,81844;150;0;0;1;0;0;0;0;0;0;0;(iii);Cultural;C;Algeria;Algérie;Arab States;États arabes;dz;dza;0
198;179;;Tassili n'Ajjer;Tassili n'Ajjer;<p>Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’.</p>;<p>Cet étrange paysage lunaire de grand intérêt géologique abrite l’un des plus importants ensembles d’art rupestre préhistorique du monde. Plus de 15 000 dessins et gravures permettent d’y suivre, depuis 6000 av. J.-C. jusqu’aux premiers siècles de notre ère, les changements du climat, les migrations de la faune et l’évolution de la vie humaine aux confins du Sahara. Le panorama de formations géologiques présente un intérêt exceptionnel avec ses « forêts de rochers » de grès érodé.</p>;;;1982;;0;;;9;25,5;7200000;1;0;1;0;0;0;1;1;0;0;(i)(iii)(vii)(viii);Mixed;C/N;Algeria;Algérie;Arab States;États arabes;dz;dza;0
209;188;;M'Zab Valley;Vallée du M'Zab;<p>A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners.</p>;<p>Le paysage de la vallée du M’Zab, créé au Xe siècle par les Ibadites autour de leurs cinq <em>ksour</em>, ou villages fortifiés, semble être resté intact. Simple, fonctionnelle et parfaitement adaptée à l’environnement, l’architecture du M’Zab a été conçue pour la vie en communauté, tout en respectant les structures familiales. C’est une source d’inspiration pour les urbanistes d’aujourd’hui.</p>;;;1982;;0;;;3,68333;32,48333;665,03;0;1;1;0;1;0;0;0;0;0;(ii)(iii)(v);Cultural;C;Algeria;Algérie;Arab States;États arabes;dz;dza;0
212;191;;Djémila;Djémila;"<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>";"<p>Dj&eacute;mila, ou Cuicul, avec son forum, ses temples et ses basiliques, ses arcs de triomphe et ses maisons, &agrave; 900 m d&rsquo;altitude, est un exemple remarquable d&rsquo;urbanisme romain adapt&eacute; &agrave; un site montagneux.</p>";;;1982;;0;;;5,73667;36,32056;30,6;0;0;1;1;0;0;0;0;0;0;(iii)(iv);Cultural;C;Algeria;Algérie;Arab States;États arabes;dz;dza;0
214;193;;Tipasa;Tipasa;<p>On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.</p>;<p>Sur les rives de la Méditerranée, Tipasa, ancien comptoir punique, fut occupé par Rome, qui en fit une base stratégique pour la conquête des royaumes mauritaniens. Il comprend un ensemble unique de vestiges phéniciens, romains, paléochrétiens et byzantins, voisinant avec des monuments autochtones, tel le Kbor er Roumia, grand mausolée royal de Maurétanie.</p>;;;1982;;0;2006;P 2002-2006;2,383333333;36,55;52,16;0;0;1;1;0;0;0;0;0;0;(iii)(iv);Cultural;C;Algeria;Algérie;Arab States;États arabes;dz;dza;0
215;194;;Timgad;Timgad;<p>Timgad lies on the northern slopes of the Aurès mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.</p>;<p>Sur le versant nord des Aurès, Timgad fut créée <em>ex nihilo</em>, en 100 apr. J.-C., par l’empereur Trajan comme colonie militaire. Avec son enceinte carrée et son plan orthogonal commandé par le <em>cardo</em> et le <em>decumanus</em>, les deux voies perpendiculaires qui traversaient la ville, c’est un exemple parfait d’urbanisme romain.</p>;;;1982;;0;;;6,468861111;35,48416667;90,54;0;1;1;1;0;0;0;0;0;0;(ii)(iii)(iv);Cultural;C;Algeria;Algérie;Arab States;États arabes;dz;dza;0
