year;inscribed;Culminative;Cultural_Eu;Natural_Eu;Mixed_Eu;Total_Eu;procentage_year_Eu;procentage_cul_Eu;Cultural_Asp;Natural_AsP;Mixed_AsP;Total_AsP;procentage_year_AsP;procentage_cul_AsP;Cultural_LA;Natural_LA;Mixed_LA;Total_LA;procentage_year_LA;procentage_cul_LA;Cultural_AS;Natural_AS;Mixed_AS;Total_AS;procentage_year_AS;procentage_cul_AS;Cultural_AF;Natural_AF;Mixed_AF;Total_AF;procentage_year_AF;procentage_cul_AF
1978;12;12;5;2;0;7;58,33333333;58,33333333;0;0;0;0;0;0;1;1;0;2;16,66666667;16,66666667;0;0;0;0;0;0;2;1;0;3;25;25
1979;45;57;18;6;1;25;55,55555556;43,85964912;4;1;0;5;11,11111111;8,771929825;1;0;1;2;4,444444444;3,50877193;9;0;0;9;20;15,78947368;2;1;1;4;8,888888889;7,01754386
1980;27;84;8;2;0;10;37,03703704;11,9047619;3;0;0;3;11,11111111;3,571428571;3;0;0;3;11,11111111;3,571428571;3;1;0;4;14,81481481;4,761904762;5;2;0;7;25,92592593;8,333333333
1981;26;110;9;2;0;11;42,30769231;10;2;1;2;5;19,23076923;4,545454545;1;2;0;3;11,53846154;2,727272727;2;0;0;2;7,692307692;1,818181818;1;4;0;5;19,23076923;4,545454545
1982;24;134;3;0;0;3;12,5;2,23880597;3;1;1;5;20,83333333;3,731343284;3;1;0;4;16,66666667;2,985074627;8;0;1;9;37,5;6,71641791;0;3;0;3;12,5;2,23880597
1983;29;163;13;5;0;18;62,06896552;11,04294479;4;0;0;4;13,79310345;2,45398773;2;2;1;5;17,24137931;3,067484663;0;0;0;0;0;0;0;2;0;2;6,896551724;1,226993865
1984;22;185;8;2;0;10;45,45454545;5,405405405;2;1;0;3;13,63636364;1,621621622;1;1;0;2;9,090909091;1,081081081;4;0;0;4;18,18181818;2,162162162;0;3;0;3;13,63636364;1,621621622
1985;30;215;13;0;1;14;46,66666667;6,511627907;2;3;0;5;16,66666667;2,325581395;3;1;0;4;13,33333333;1,860465116;6;0;0;6;20;2,790697674;1;0;0;1;3,333333333;0,465116279
1986;29;244;13;3;1;17;58,62068966;6,967213115;4;1;0;5;17,24137931;2,049180328;1;1;0;2;6,896551724;0,819672131;3;0;0;3;10,34482759;1,229508197;2;0;0;2;6,896551724;0,819672131
1987;41;285;15;2;0;17;41,46341463;5,964912281;8;1;2;11;26,82926829;3,859649123;7;2;0;9;21,95121951;3,157894737;2;0;0;2;4,87804878;0,701754386;0;2;0;2;4,87804878;0,701754386
1988;27;312;8;1;3;12;44,44444444;3,846153846;2;3;0;5;18,51851852;1,602564103;4;0;0;4;14,81481481;1,282051282;3;0;0;3;11,11111111;0,961538462;2;1;0;3;11,11111111;0,961538462
1989;7;319;3;0;0;3;42,85714286;0,940438871;1;0;0;1;14,28571429;0,313479624;0;0;0;0;0;0;0;1;0;1;14,28571429;0,313479624;0;1;1;2;28,57142857;0,626959248
1990;16;335;8;0;0;8;50;2,388059701;1;1;2;4;25;1,194029851;2;0;1;3;18,75;0,895522388;0;0;0;0;0;0;0;1;0;1;6,25;0,298507463
1991;22;357;7;1;0;8;36,36363636;2,240896359;5;4;0;9;40,90909091;2,521008403;3;0;0;3;13,63636364;0,840336134;0;0;0;0;0;0;1;1;0;2;9,090909091;0,56022409
1992;20;377;12;0;0;12;60;3,183023873;2;4;0;6;30;1,591511936;1;0;0;1;5;0,265251989;1;0;0;1;5;0,265251989;0;0;0;0;0;0
1993;33;410;16;0;0;16;48,48484848;3,902439024;7;3;0;10;30,3030303;2,43902439;5;1;0;6;18,18181818;1,463414634;1;0;0;1;3,03030303;0,243902439;0;0;0;0;0;0
1994;29;439;14;1;0;15;51,72413793;3,416856492;5;2;0;7;24,13793103;1,59453303;2;2;0;4;13,79310345;0,911161731;0;1;0;1;3,448275862;0,227790433;0;2;0;2;6,896551724;0,455580866
